outer_domain,scorer,nominal_checkpoint,specimen_count,state_count,mean_exact_acquired_cost,mean_effective_budget,next_action_regret,one_step_cai_utility,spearman,ndcg,recall_at_k
74t7kcdgkr,static_m1_o2,0.03125,45,225,10429.977777777778,0.031185615457384668,0.010742491275038827,0.0022496136588868484,-0.03180735777593734,0.896540880852296,0.26222222222222225
74t7kcdgkr,static_m1_o2,0.0625,45,225,20229.65777777778,0.060460019506402694,0.0092139201228274,0.0003492223343946378,-0.03485326419397634,0.8885345814563101,0.2222222222222222
74t7kcdgkr,static_m1_o2,0.09375,45,225,30652.244444444445,0.09171584121061985,0.008853556863212578,-0.00010761727693582571,-0.02373117890332285,0.8873173823358436,0.21688888888888888
74t7kcdgkr,static_m1_o2,0.125,45,225,41327.65333333333,0.12354392569432286,0.008734671361284143,-0.00009609069115466362,-0.023248570052411023,0.8799574825816221,0.19733333333333336
74t7kcdgkr,static_m1_o2,0.1875,45,225,62267.79555555555,0.18598780152873015,0.008405776160148915,-0.00014595719087405953,-0.011718485629482734,0.8795379519101074,0.2
cgtnjyggtm,candidate_only_static,0.03125,49,245,8431.718367346939,0.01853328578381567,0.019135915918073957,0.00037040122792199217,0.005460491889063316,0.8862310416781753,0.11020408163265306
cgtnjyggtm,candidate_only_static,0.0625,49,245,27786.395918367343,0.06107571363527277,0.015633931183793328,-0.0014114603707637927,-0.006132511477054371,0.892777753674413,0.10530612244897959
cgtnjyggtm,candidate_only_static,0.09375,49,245,41713.208163265306,0.09168745612323399,0.014710293937252419,-0.0014766987740327097,0.00038598195945296616,0.8917592257524095,0.11020408163265306
cgtnjyggtm,candidate_only_static,0.125,49,245,56042.477551020405,0.12318381701510146,0.014126881347706772,-0.0012545272104155542,-0.00007052664761333303,0.8900360237823297,0.10367346938775511
cgtnjyggtm,candidate_only_static,0.1875,49,245,84528.77551020408,0.185797945950553,0.011718282851258638,-0.0008059297077921971,-0.0031569073823322427,0.8821539797335576,0.09632653061224491
