outer_domain,specimen_id,nominal_checkpoint,feedback_exact_cost,feedback_effective_budget,feedback_cai_error,feedback_trajectory_count,no_feedback_exact_cost,no_feedback_effective_budget,no_feedback_cai_error,no_feedback_trajectory_count,feedback_benefit,exact_cost_difference
w68dtmpfyf,q16-16,0.0625,28178,0.061936476535883,0.003382922860256,1,28178,0.061936476535883,0.003382922860256,1,0,0
w68dtmpfyf,q16-16,0.09375,42312,0.093003626772173,0.003347205827669,1,42164,0.092678316298494,0.003329112330899,1,-0.00001809349677,-148
w68dtmpfyf,q16-16,0.125,56298,0.123745466534784,0.003311175487779,1,56278,0.123701505659963,0.003226948041051,1,-0.000084227446728,-20
w68dtmpfyf,q16-16,0.1875,84376,0.18546213869656,0.003307415800139,1,84524,0.185787449170238,0.003271072152945,1,-0.000036343647194,148
w68dtmpfyf,q16-16,0.25,112422,0.247108473458622,0.003513337025292,1,112476,0.24722716782064,0.003456602294437,1,-0.000056734730855,54
w68dtmpfyf,q16-17,0.03125,14138,0.031075942411254,0.021587244266989,1,14138,0.031075942411254,0.021587244266989,1,0,0
w68dtmpfyf,q16-17,0.0625,28178,0.061936476535883,0.022155165972269,1,28178,0.061936476535883,0.022155165972269,1,0,0
w68dtmpfyf,q16-17,0.09375,42312,0.093003626772173,0.022429779823691,1,42164,0.092678316298494,0.022499856223882,1,0.000070076400191,-148
w68dtmpfyf,q16-17,0.125,56298,0.123745466534784,0.02265854637305,1,56278,0.123701505659963,0.022709093284663,1,0.000050546911613,-20
w68dtmpfyf,q16-17,0.1875,84376,0.18546213869656,0.022983289393014,1,84524,0.185787449170238,0.022897965370724,1,-0.00008532402229,148
w68dtmpfyf,q16-17,0.25,112422,0.247108473458622,0.023092242007768,1,112422,0.247108473458622,0.023136313901779,1,0.000044071894011,0
w68dtmpfyf,q16-18,0.03125,14138,0.031075942411254,0.011295336078856,1,14138,0.031075942411254,0.011295336078856,1,0,0
w68dtmpfyf,q16-18,0.0625,28178,0.061936476535883,0.010986127879351,1,28178,0.061936476535883,0.010986127879351,1,0,0
w68dtmpfyf,q16-18,0.09375,42312,0.093003626772173,0.010834173837207,1,42164,0.092678316298494,0.010761773741181,1,-0.000072400096026,-148
w68dtmpfyf,q16-18,0.125,56298,0.123745466534784,0.010739816121002,1,56278,0.123701505659963,0.010635249808496,1,-0.000104566312506,-20
w68dtmpfyf,q16-18,0.1875,84376,0.18546213869656,0.010572040060036,1,84524,0.185787449170238,0.01065339552315,1,0.000081355463114,148
w68dtmpfyf,q16-18,0.25,112422,0.247108473458622,0.010565434497723,1,112422,0.247108473458622,0.01055279776982,1,-0.000012636727903,0
w68dtmpfyf,q16-19,0.03125,14138,0.031075942411254,0.248532665694641,1,14138,0.031075942411254,0.248532665694641,1,0,0
w68dtmpfyf,q16-19,0.0625,28178,0.061936476535883,0.249370573441382,1,28178,0.061936476535883,0.249370573441382,1,0,0
w68dtmpfyf,q16-19,0.09375,42312,0.093003626772173,0.250428462078516,1,42312,0.093003626772173,0.250428462078516,1,0,0
w68dtmpfyf,q16-19,0.125,56298,0.123745466534784,0.25152974377717,1,56278,0.123701505659963,0.251459040762371,1,-0.000070703014799,-20
w68dtmpfyf,q16-19,0.1875,84398,0.185510495658864,0.253768252660305,1,84398,0.185510495658864,0.253794113567306,1,0.000025860907001,0
w68dtmpfyf,q16-19,0.25,112507,0.247295307176613,0.256035468325114,1,112422,0.247108473458622,0.256026630448264,1,-0.00000883787685,-85
w68dtmpfyf,q16-2,0.03125,14138,0.031075942411254,0.046614897647408,1,14138,0.031075942411254,0.046614897647408,1,0,0
w68dtmpfyf,q16-2,0.0625,28178,0.061936476535883,0.046501330277164,1,28178,0.061936476535883,0.046501330277164,1,0,0
w68dtmpfyf,q16-2,0.09375,42312,0.093003626772173,0.04618791201077,1,42312,0.093003626772173,0.04618791201077,1,0,0
