dataset_id,specimen_id,comparison,first_method,second_method,nominal_checkpoint,first_action_count,second_action_count,exact_action_jaccard,normalized_symmetric_cell_distance,first_mean_radial_position,second_mean_radial_position,first_minus_second_level2_fraction
74t7kcdgkr,c8-17,oracle,reconstruction_oracle,mechanical_oracle,0.125,26,19,0.15384615384615385,0.09565348241990151,0.6319050737493791,0.5517671390221226,-0.15789473684210525
74t7kcdgkr,c8-17,oracle,reconstruction_oracle,mechanical_oracle,0.1875,42,26,0.2830188679245283,0.047758101517472534,0.5836654619129968,0.5818718235603618,-0.2454212454212454
74t7kcdgkr,c8-17,oracle,reconstruction_oracle,mechanical_oracle,0.25,50,35,0.26865671641791045,0.04657099618920459,0.5943686544688829,0.6081887522545171,-0.21428571428571427
74t7kcdgkr,c8-18,learned,global_reconstruction_mask,global_mechanical_mask,0.03125,0,0,,,,,
74t7kcdgkr,c8-18,learned,global_reconstruction_mask,global_mechanical_mask,0.0625,8,9,0.13333333333333333,0.17120043214887937,0.6458129475106507,0.32439461640604794,0
74t7kcdgkr,c8-18,learned,global_reconstruction_mask,global_mechanical_mask,0.09375,17,18,0.16666666666666666,0.11163531863546391,0.7099709625428269,0.43487218121315224,0
74t7kcdgkr,c8-18,learned,global_reconstruction_mask,global_mechanical_mask,0.125,26,27,0.23255813953488372,0.07539817751331977,0.701420149422866,0.49268673711405325,0
74t7kcdgkr,c8-18,learned,global_reconstruction_mask,global_mechanical_mask,0.1875,44,45,0.48333333333333334,0.03517677674084592,0.6773947835558639,0.5789629773128685,0
74t7kcdgkr,c8-18,learned,global_reconstruction_mask,global_mechanical_mask,0.25,64,64,1,0,0.6148687895716815,0.6148687895716815,0
74t7kcdgkr,c8-18,oracle,reconstruction_oracle,mechanical_oracle,0.03125,0,0,,,,,
74t7kcdgkr,c8-18,oracle,reconstruction_oracle,mechanical_oracle,0.0625,4,8,0.09090909090909091,0.22297146580865942,0.9344830378784443,0.5706328743067846,0.5
74t7kcdgkr,c8-18,oracle,reconstruction_oracle,mechanical_oracle,0.09375,8,13,0.05,0.20166821409165106,0.8381402620511688,0.5739157005023341,0.34615384615384615
74t7kcdgkr,c8-18,oracle,reconstruction_oracle,mechanical_oracle,0.125,14,17,0.10714285714285714,0.12210122842339641,0.8243786456327848,0.5977733746658859,0.12184873949579833
74t7kcdgkr,c8-18,oracle,reconstruction_oracle,mechanical_oracle,0.1875,24,30,0.14893617021276595,0.1084815209025238,0.7981651615615775,0.6491226473401263,0.1333333333333333
74t7kcdgkr,c8-18,oracle,reconstruction_oracle,mechanical_oracle,0.25,35,38,0.19672131147540983,0.07003156864631077,0.7752324585943681,0.642163388696536,0.05112781954887219
74t7kcdgkr,c8-19,learned,global_reconstruction_mask,global_mechanical_mask,0.03125,0,0,,,,,
74t7kcdgkr,c8-19,learned,global_reconstruction_mask,global_mechanical_mask,0.0625,8,9,0.13333333333333333,0.17120043214887937,0.6458129475106507,0.32439461640604794,0
