initial_checkpoint,current_checkpoint,metric,statistical_unit,contrast,left_source,right_source,estimate,bootstrap_mean,ci95_lower,ci95_upper,fraction_above_zero,bootstrap_replicates,seed
0.03125,0.1875,best_action_turnover,physical_specimen_within_domain,static,static,zero,0.21969212232927296,0.21964036480637933,0.197320161745405,0.241195936735746,1,5000,20250826
0.03125,0.1875,best_action_turnover,physical_specimen_within_domain,teacher,teacher,zero,0.7037382293631609,0.7036314028944954,0.6785819988175483,0.7280192290630475,1,5000,20250826
0.03125,0.1875,dynamic_vs_initial_opportunity,physical_specimen_within_domain,positions_only,positions_only,zero,0.00012214180550597955,0.00012320616515109085,-0.00011266486213101788,0.00040742884735947766,0.8284,5000,20250826
0.03125,0.1875,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real,real,zero,-0.000026371513449356557,-0.000027041235403824676,-0.00012921738452172058,0.00007247709252013805,0.304,5000,20250826
0.03125,0.1875,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,-0.00014851331895533612,-0.00015024740055491557,-0.00046010164180160403,0.000100024744612572,0.1374,5000,20250826
0.03125,0.1875,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,-0.000006103593267970116,-0.000007766653703266771,-0.0001602614380804365,0.00014874277450070697,0.4586,5000,20250826
0.03125,0.1875,dynamic_vs_initial_opportunity,physical_specimen_within_domain,real_minus_static,real,static,0.000007867823275738944,0.000008013765826018348,-0.00011247842406963092,0.00012611287736235524,0.555,5000,20250826
0.03125,0.1875,dynamic_vs_initial_opportunity,physical_specimen_within_domain,shuffled,shuffled,zero,-0.00002026792018138644,-0.00001927458170055791,-0.00014168750268991884,0.00010266681773672521,0.3784,5000,20250826
0.03125,0.1875,dynamic_vs_initial_opportunity,physical_specimen_within_domain,static,static,zero,-0.0000342393367250955,-0.000035055001229843026,-0.00011816828304007202,0.000047040632765914166,0.2046,5000,20250826
0.03125,0.1875,dynamic_vs_initial_opportunity,physical_specimen_within_domain,teacher,teacher,zero,0.005308664773700671,0.005305330638438643,0.004783818413027058,0.0058961093224949995,1,5000,20250826
0.03125,0.1875,mean_absolute_value_shift,physical_specimen_within_domain,positions_only,positions_only,zero,0.009337479640211081,0.009333769957712464,0.008972738074882157,0.009708498745942344,1,5000,20250826
0.03125,0.1875,mean_absolute_value_shift,physical_specimen_within_domain,real,real,zero,0.005759292219388316,0.005759261651122967,0.00554784471639655,0.005967435572485223,1,5000,20250826
0.03125,0.1875,mean_absolute_value_shift,physical_specimen_within_domain,real_minus_positions_only,real,positions_only,-0.0035781874208227656,-0.0035745083065894965,-0.003923280403655054,-0.003217448330118397,0,5000,20250826
0.03125,0.1875,mean_absolute_value_shift,physical_specimen_within_domain,real_minus_shuffled,real,shuffled,0.002209932029420786,0.0022102241714780225,0.0020237499809996166,0.0023952150048451274,1,5000,20250826
0.03125,0.1875,mean_absolute_value_shift,physical_specimen_within_domain,real_minus_static,real,static,0.0013418103308900694,0.0013424263155961706,0.0011218572831454734,0.0015590465651121477,1,5000,20250826
0.03125,0.1875,mean_absolute_value_shift,physical_specimen_within_domain,shuffled,shuffled,zero,0.0035493601899675297,0.0035490374796449445,0.003444327439333873,0.0036608991614177234,1,5000,20250826
0.03125,0.1875,mean_absolute_value_shift,physical_specimen_within_domain,static,static,zero,0.004417481888498246,0.0044168353355267965,0.004283114478834002,0.004556085832328377,1,5000,20250826
0.03125,0.1875,mean_absolute_value_shift,physical_specimen_within_domain,teacher,teacher,zero,0.0027101595693344565,0.002710065820034757,0.002582544112575705,0.00284232167334537,1,5000,20250826
